0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:27:27 -0500] "GET /Tuition/SelectEmployee.do HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:27:28 -0500] "GET /Tuition/GetReimbursements.do HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:27:43 -0500] "POST /Tuition/SubmitGrade.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:27:45 -0500] "POST /Tuition/GetSupervisors.do HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:02 -0500] "POST /Tuition/Login.do HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:03 -0500] "GET /Tuition/GetReimbursements.do HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:03 -0500] "GET /Tuition/SelectEmployee.do HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:06 -0500] "GET /Tuition/GetSupReimbersements.do HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:14 -0500] "POST /Tuition/ApproveRForm.do HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:14 -0500] "POST /Tuition/GetSupervisors.do HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:22 -0500] "POST /Tuition/Login.do HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:23 -0500] "GET /Tuition/SelectEmployee.do HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:28:24 -0500] "GET /Tuition/GetReimbursements.do HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:29:18 -0500] "POST /Tuition/GetSupervisors.do HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:56:41 -0500] "POST /Tuition/GetSupervisors.do HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:56:47 -0500] "POST /Tuition/Login.do HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:56:49 -0500] "GET /Tuition/SelectEmployee.do HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [24/Jul/2018:10:56:49 -0500] "GET /Tuition/GetReimbursements.do HTTP/1.1" 200 429
